"","id","outliersPro","estimated_rate_Before_Handling","estimated_rate_After_Q_b_F_C","estimated_rate_After_mean","estimated_rate_After_median","Before_P_value","Q_b_F_C_P_value","mean_P_value","median_P_value"
"139",1540,0.0694888178913738,0.530977827135684,0.601458393336509,0.775020031571748,0.810726216965702,0,0,0,0
"140",1542,0.0833333333333333,0.918100951122257,1.03848818417795,1.39157028695629,1.46375873195446,0,0,0,0
"141",1552,0.08661800486618,0.833586108141855,0.928634648446753,1.22502612839244,1.27609324294739,0,0,0,0
"142",1553,0.081145584725537,0.515180827362231,0.615251316331975,0.828470695523235,0.872037558261728,0,0,5e-04,0
"143",1558,0.076530612244898,0.342882961389658,0.368128212735759,0.472795400566558,0.491694979151633,0.0015,0.0125,0.059,0.0205
"144",1575,0.104761904761905,2.64071592742921,4.70778715322104,6.34064080944351,6.59087738875715,0,0.2445,0.5475,0.3495
"145",1578,0.0933997509339975,1.07415926565359,1.26489628227487,1.72777859158788,1.8156454999501,0,0,0.002,0
"146",1580,0,0.103253057647263,0.103253057647263,0.103253057647263,0.103253057647263,0.9275,0.911,0.9195,0.9195
"147",1591,0.0136986301369863,0.459731912353462,0.464642912798174,0.481181568067148,0.483299678364818,0.998,1,1,1
"148",1612,0.00558659217877095,0.17482626484759,0.176579093351734,0.17987668743688,0.180845375322003,0,0,0,0
"149",1621,0.0570291777188329,0.627246401503706,0.654112789277632,0.771330011998183,0.786869969684533,0.007,0.3525,0.952,0.8005
"150",1624,0.0675853018372703,0.672294859485194,0.713448662309535,0.854176384859487,0.868657651071605,0.0045,0.9285,1,1
"151",1632,0.202970297029703,0.614333548290945,5.11848670995375,15.6084426608964,18.0671932578113,0,0,0,0
"152",1633,0.0696969696969697,0.296134989742571,0.327206268798052,0.403530565688315,0.415673559296523,0,0.002,0.0825,0.0065
"153",1634,0.0543293718166384,0.777490756133702,0.833515766732895,0.994463793362673,1.02113003339265,0,0,0,0
"154",1649,0.0300319488817891,0.431655634203717,0.44247834183918,0.477968309392069,0.482006004720659,0.68,0.998,1,1
"155",1664,0.0169651272384543,0.535717739548916,0.541787774719412,0.566822750737054,0.569725182663569,0.787,0.9655,0.996,0.9905
"156",1690,0.0196078431372549,0.328455105676887,0.34618378511559,0.362917123162157,0.364604738773853,0.144,0.807,0.8625,0.8475
"157",1693,0.0592485549132948,0.500986202821671,0.528869138295603,0.620927777107876,0.632990352774686,0.02,0.7065,0.9895,0.952
"158",1694,0.0666239590006406,0.769558905246356,0.816237460921914,0.983982062247801,1.00711970225068,0,0.301,0.985,0.866
"159",1696,0.0465532676812892,0.456383029008393,0.480208020496487,0.554212589442298,0.56580875880709,0,0.007,0.1495,0.0285
"160",1699,0.0897755610972569,0.763290767064193,1.02031300784461,1.38759309056537,1.45945332501103,0,0,0,0
"161",1721,0.0834532374100719,0.188912995420485,0.209198710057539,0.258704394901542,0.263557599371839,0.0065,0.961,1,1
"162",1733,0.063622754491018,0.794865765638607,0.859617429887088,1.02301673993213,1.0414314152399,0,0.737,1,0.9985
"163",1735,0.0805860805860806,0.842776765732442,0.942840415587612,1.23856625955394,1.2951052939453,0,0,0,0
"164",1750,0.0762925598991173,1.021842659415,1.169388804062,1.4646017142472,1.50328270877358,0,0.0825,0.9685,0.7475
"165",1759,0.026448362720403,0.472297971302801,0.486776878737184,0.527713689712126,0.53212006106807,5e-04,0.2775,0.8585,0.7665
"166",1791,0.0362204724409449,0.250875266550978,0.258689276688947,0.284659696334924,0.287984181871562,0.2085,0.7765,0.9655,0.9255
"167",1819,0.0599250936329588,0.47091539745159,0.505789724827939,0.596671756866587,0.606364750075816,0.004,0.7135,0.994,0.9805
"168",1821,0.0542168674698795,0.520364162001828,0.530977762797856,0.603115775558846,0.613777958138632,0.5265,0.7945,0.938,0.857
"169",1822,0.102857142857143,0.354348819838021,0.439363541808067,0.608442405745872,0.634193710795867,0,0,0.001,0
"170",1830,0.0320781032078103,0.395682327101367,0.420232680384037,0.461495322789972,0.466636496365313,0,0.7485,0.982,0.9605
"171",1839,0.127118644067797,0.703147116239455,0.843083312461647,1.20293533497333,1.27162405223262,0.002,0.234,0.3955,0.1715
"172",1842,0.0964063579820318,0.664135723697472,0.734499957777269,0.939227662128575,0.963310007766118,0,1,1,1
"173",1847,0.10186976144423,0.988793110841535,1.1956195513961,1.68668628553966,1.77249997060447,0,0,0,0
"174",1865,0.0839386602098467,0.617055169312753,0.719442930802916,1.00748214907555,1.0775539835981,0,0,0,0
"175",1869,0,0.34352198558854,0.34352198558854,0.34352198558854,0.34352198558854,1,1,0.9995,1
"176",1877,0.159394826744754,2.40845950392279,8.79346174218727,15.2317992019381,16.5166531232452,0,0,0.1165,0
"177",1889,0.0836791147994467,0.340050710600174,0.389822013701795,0.503219125385636,0.522462966801159,0,5e-04,0.0145,0.001
"178",1894,0.0921658986175115,0.789388593398916,0.886811554771629,1.1314367288831,1.15563213023238,0.001,0.895,1,0.9995
"179",1900,0.0694444444444444,0.589661809407527,0.60164479228957,0.74435102185194,0.76265426711919,0.03,0.0465,0.124,0.069
"180",1950,0.0162337662337662,0.328482964459126,0.330887795134094,0.343908323507793,0.344598728499167,1,1,1,1
"181",1951,0.0170015455950541,0.357142092014746,0.365204300868844,0.38427893578712,0.386628932419427,0.199,0.846,0.9745,0.961
"182",1959,0.0326633165829146,0.372867682930297,0.382425951775775,0.411374841137469,0.414405147137164,0.9985,1,1,1
"183",1993,0.0125786163522013,0.425604695859463,0.428482407713168,0.443691183547803,0.44541801230483,0.7455,0.807,0.884,0.8735
"184",1994,0.0917874396135266,0.698055091777221,0.771600492299558,0.999906175097851,1.02912966769068,5e-04,0.28,0.8425,0.624
"185",2001,0.0320284697508897,0.367451152436794,0.386633547301134,0.42085302815262,0.424774392432686,0.122,0.9275,0.9935,0.982
"186",2003,0.0452446906740536,0.22261569419841,0.227979745445319,0.25480996072281,0.257897327090569,0.5395,0.9215,0.997,0.9895
"187",2011,0.00892857142857143,0.458780327776355,0.462610594446186,0.476218852516735,0.477701348202429,0.188,0.28,0.318,0.2945
"188",2018,0.0161290322580645,0.437132786799864,0.441400108494186,0.462635572678113,0.464764063443426,0.244,0.36,0.453,0.424
"189",2021,0.0481927710843374,0.39493105393814,0.427202558022719,0.485690984455901,0.493594253036644,0.006,0.548,0.8375,0.7455
"190",2026,0.143478260869565,0.199719103154908,0.261623406245379,0.473662221031803,0.531397879009819,0,0,0,0
"191",2031,0.0382436260623229,0.436060500928012,0.452862837420486,0.505511118681231,0.513201677723142,0.004,0.143,0.4555,0.2645
"192",2040,0.0385756676557863,0.268114832378224,0.279137354110277,0.316934911996259,0.322383196810083,0,0.0265,0.085,0.046
"193",2051,0.0547717842323651,0.744692900258663,0.784660439121517,0.902452029664127,0.912932772461754,0.09,0.995,1,1
"194",2054,0.0968569595894804,0.343589385112253,0.456607812698065,0.675770440072669,0.735007396868611,0,0,0,0
"195",2060,0.0310262529832936,0.546212021093206,0.555944860930382,0.603555052202394,0.610295152794769,0.0945,0.3835,0.629,0.504
"196",2061,0,0.354547037967463,0.354547037967463,0.354547037967463,0.354547037967463,1,1,1,1
"197",2070,0.0519323671497585,0.56452696231322,0.620364157063093,0.736941203100418,0.757194532460693,0,0,0.001,0
"198",2080,0.0376647834274953,0.540452358842278,0.568941770306574,0.631160292015703,0.639200261956526,0.002,0.4155,0.741,0.608
"199",2087,0.170548756415318,1.25920456910612,2.83981781602015,6.87615620581706,8.02068051904926,0,0,0,0
"200",2088,0.00869565217391304,0.102961794913401,0.103827167013375,0.106536858115571,0.106823769809017,0.6885,0.764,0.8415,0.8385
"201",2109,0.0263157894736842,0.436188608679173,0.439267423192846,0.475358446455546,0.480309084946642,0.2895,0.3375,0.5275,0.49
"202",2114,0.0391061452513966,0.473960907980702,0.486743818914476,0.536315079387655,0.542607300546945,0.7545,0.9925,1,1
"203",2116,0.00266666666666667,0.588020062277086,0.588605631341289,0.593845591136549,0.594709455609063,0.004,0.0075,0.0085,0.006
"204",2134,0.0120845921450151,0.447631343618872,0.450978429127204,0.464802249232059,0.466098349992211,0.9935,0.998,1,0.9995
"205",2135,0.0175953079178886,0.474795170165698,0.481513925328674,0.505398039946415,0.508230389895735,0.3655,0.6185,0.759,0.715
"206",2137,0.075,0.812060114699888,0.900046451824993,1.1149488539425,1.14300806415436,0,0.0855,0.5585,0.25
"207",2140,0.0427480916030534,0.75462133154468,0.794941784158706,0.88928496542523,0.897293392346477,0.042,0.9445,0.999,0.996
"208",2146,0.00613496932515337,0.313920792650183,0.314883562461653,0.319796454838533,0.320074969482621,1,1,1,1
"209",2159,0.155665024630542,0.255560419147668,0.402598280516985,0.858799425416512,0.99687542782009,0,0,0,0
"210",2165,0.00894854586129754,0.446454211266498,0.44878185152122,0.459250979593642,0.460726185550556,0.9635,0.9895,0.9935,0.9945
"211",2195,0.0836965998256321,0.241990981745957,0.272850140433877,0.378297132486409,0.402328232910036,0,0,0,0
"212",2199,0.118513773222293,0.319893399187238,0.395699816719987,0.635270598227772,0.693136239430015,0,0,0,0
"213",2200,0.134946949602122,1.14203010406005,1.75859980959204,3.09089751590274,3.427105026546,0,0,0,0
"214",2203,0.0851063829787234,0.815634783421502,0.926791297653307,1.15927804363223,1.18189948224062,0,0.998,1,1
"215",2208,0.104859335038363,0.283041439014214,0.333593123315489,0.51238375481058,0.558357977534576,0,0,0,0
"216",2219,0.0777537796976242,1.086882109738,1.22203175294586,1.60052643915161,1.66980900391615,0,0,0.0035,0
"217",2229,0,0.129414118064206,0.129414118064206,0.129414118064206,0.129414118064206,0.6405,0.6475,0.639,0.653
"218",2230,0.0658472344161545,0.321162412803787,0.350460800839606,0.420622355201534,0.430869593531581,0,0.4145,0.9855,0.87
"219",2234,0.0982817869415808,0.86171483708717,0.998958888672839,1.35013260723952,1.40241413551473,0,0.002,0.581,0.0675
"220",2235,0.0477845351867941,0.337809001122208,0.354039787503462,0.40751056623936,0.414471992163967,0,0.2205,0.904,0.6985
"221",2246,0.0508601346297681,0.499582026626972,0.518423078494083,0.593803900342899,0.604285522843869,0.023,0.7125,0.996,0.9555
"222",2263,0.0915111378687538,0.434822255635653,0.516014520524782,0.662195954204251,0.683865706437132,0,0.225,0.9845,0.6875
"223",2267,0.0444444444444444,0.566091137724422,0.575420311878209,0.644212624725987,0.652638074993967,0.7505,0.932,0.999,0.994
"224",2271,0.0277252678008822,0.551494276068287,0.560455627189903,0.605813004236531,0.612166304886897,0.0175,0.229,0.638,0.429
"225",2273,0,0.15785826805151,0.15785826805151,0.15785826805151,0.15785826805151,0.3575,0.3475,0.341,0.347
